Anthropocene,ˈæn.θɹə.pəˌsiːn,,['proper noun']
Antichrist,ˈantiˌkʁɪst,,['proper noun']
Antigone,ænˈtʰɪ.ɡə.ni,,['proper noun']
Antigua,ænˈtiːɡ(w)ə,,['proper noun']
Antillean,æntəˈliːən,,['proper noun']
Antilles,ænˈtɪl.iːz,,['proper noun']
Antioch,ˈæntɪˌɒk,,['proper noun']
Antipas,ˈæntɪpæs,,['proper noun']
Antofagasta,antofaˈɡasta,,['proper noun']
Antoine,ɑ̃.twan,,['proper noun']
Antoinette,ɑ̃.twa.nɛt,,['proper noun']
Anton,ˈɑnton,,['proper noun']
Antonia,ænˈtəʊni.ə,,['proper noun']
Antonio,ænˈtoʊnioʊ,,['proper noun']
Antonius,ænˈtəʊni.əs,,['proper noun']
Antony,ˈæntəni,,['proper noun']
Antwerp,ˈæn.twɝp,,['proper noun']
Anubis,aˈnu.bis,,['proper noun']
Apache,ə.ˈpæ.t͡ʃi,,['proper noun']
Apennines,ˈæpənaɪnz,,['proper noun']
Aphrodite,æfɹəˈdaɪti,,['proper noun']
Apia,ˈa.pi.a,,['proper noun']
Apocalypse,əˈpɒkəlɪps,,['proper noun']
Apollo,əˈpɒləʊ,,['proper noun']
Appalachia,ˌæ.pəˈleɪ.(t)ʃə,,['proper noun']
Appalachian,ˌæ.pəˈleɪ.(t)ʃən,,['proper noun']
Appalachians,ˌæ.pəˈleɪ.ʃənz,,['proper noun']
Appaloosa,ɛ.pə.ˈluː.sa,,['proper noun']
Apple,ˈæ.pəl,,['proper noun']
April,ˈeɪ.pɹɪl,,['proper noun']
Aprils,ˈeɪ.pɹəlz,,['proper noun']
Apuleius,ˌæpjuˈli.əs,,['proper noun']
Aquarius,əˈkwɛə.ɹɪ.əs,,['proper noun']
Aquila,ˈækwɪlə,,['proper noun']
Aquino,aˈkwi.no,,['proper noun']
Aquitaine,eɪ,,['proper noun']
Ar,aːʀ,,['proper noun']
Ara,ˈaːʁa,,['proper noun']
Arab,ˈæɹ.əb,,['proper noun']
Arabia,əˈɹeɪbiə,,['proper noun']
Arabian,əˈɹeɪbi.ən,,['proper noun']
Arabic,ˈæɹəbɪk,,['proper noun']
Arabist,ˈaɹəbɪst,,['proper noun']
Arabs,ˈɛɹ.əbz,,['proper noun']
Arafat,a.raˈfat,,['proper noun']
Aragon,ˈæɹəɡən,,['proper noun']
Aral,ˈɛɹ.əl,,['proper noun']
Aramaic,ˌæɹ.ə.ˈmei.ɪk,,['proper noun']
Arapaho,əˈɹæpəhoʊ,,['proper noun']
Ararat,ˈæɹəˌɹæt,,['proper noun']
Arcadia,ɑɹˈkeɪ.di.ə,,['proper noun']
Arcadian,ɑː(ɹ)ˈkeɪ.di.ən,,['proper noun']
Archibald,ˈɑː(ɹ).tʃɪ.bɔːld,,['proper noun']
Archie,ˈɑːtʃi,,['proper noun']
Archimedes,ˌɑːkɪˈmiːdiːz,,['proper noun']
Arctic,ˈɑː(k)tɪk,,['proper noun']
Arcturus,ɑɹkˈtjʊəɹəs,,['proper noun']
Arden,ɑː(ɹ)də,,['proper noun']
Arequipa,aɾeˈkipa,,['proper noun']
Ares,ˈeəɹiːz,,['proper noun']
Argentina,ˌɑː.d͡ʒən.ˈtiː.nə,,['proper noun']
Argentine,ˈɑː.dʒən.taɪn,,['proper noun']
Argentinian,ɑɹ.ˌdʒɨn.ˈtɪ.ni.ən,,['proper noun']
Argo,ˈaʁ.ɡu,,['proper noun']
Argonaut,ˈɑːrɡənɔːt,,['proper noun']
Argus,ˈɑr.ɣʏs,,['proper noun']
Ariadne,ˈæ.ɹiˌæd.ni,,['proper noun']
Arianism,ˈɛəɹɪənɪzəm,,['proper noun']
Ariel,ɛəɹiə,,['proper noun']
Aries,ˈɛə.ɹiːz,,['proper noun']
Ariosto,aˈrjɔ.sto,,['proper noun']
Aristides,a.risˈtiː.deːs,,['proper noun']
Aristophanes,æɹɪsˈtɒfəniːz,,['proper noun']
Aristotle,ˈæɹɪˌstɒtəl,,['proper noun']
Arius,ˈɛəɹi.əs,,['proper noun']
Arizona,ˌæɹɪˈzoʊnə,,['proper noun']
Arizonian,əʊniə,,['proper noun']
Arkansan,ˈɑː(ɹ)kənˌsɔːn,,['proper noun']
Arkansas,ˈɑɹ.kən.sɔ,,['proper noun']
Arlene,aʁ.ˈle.ni,,['proper noun']
Armageddon,ˌɑː(ɹ).məˈɡɛ.dn̩,,['proper noun']
Armand,aʁ.mɑ̃,,['proper noun']
Armando,ˌɑrˈmɑn.doː,,['proper noun']
Armani,arˈma.ni,,['proper noun']
Armenia,ɑːˈmiː.ni.ə,,['proper noun']
Armenian,ɑːˈmiːni.ən,,['proper noun']
Arminius,arˈmi.ni.us,,['proper noun']
Arnhem,ˈɑrn.ɦɛm,,['proper noun']
Arno,ˈɑːnəʊ,,['proper noun']
Arnold,ˈɑɹnəld,,['proper noun']
Aron,ˈaːrɔ(ː)n,,['proper noun']
Art,ɑː(ɹ),,['proper noun']
Artaxerxes,ˌɑːtə(ɡ)ˈzɜːksiːz,,['proper noun']
Artemis,ˈɑɹtəmɪs,,['proper noun']
Arthur,ˈɑːθə(ɹ),,['proper noun']
Arturo,arˈturo,,['proper noun']
Aruba,əˈɹuː.bə,,['proper noun']
Aryan,ˈɛəɹi.ən,,['proper noun']
As,a,,['proper noun']
Ascension,a.sɑ̃.sjɔ̃,,['proper noun']
Asgard,ˈæsˌɡɑɹd,,['proper noun']
Ashanti,əˈʃɑːntiː,,['proper noun']
Ashkenazim,ˌæʃkɪˈnɑːzɪm,,['proper noun']
Ashley,ˈæʃli,,['proper noun']
Asia,ˈeɪ.ʒə,,['proper noun']
