a,ɑː,,"['conjunction', 'interjection', 'adverb', 'preposition', 'letter', 'noun', 'adjective', 'verb', 'pronoun']"
Modigliani,modiʎˈʎani,,['proper noun']
Moe,məʊ,,['proper noun']
Mogadishu,ˌmoɡaˈd͡ʒiʃu,,['proper noun']
Mogul,moˈɡuːl,,['proper noun']
Mohamed,ˈmoɦamɛt,,['proper noun']
Mohave,moʊˈhɑːvi,,['proper noun']
Mohawk,m,,['proper noun']
Mohegan,moʊˈhiɡən,,['proper noun']
Moho,əʊhə,,['proper noun']
Moira,ˈmɔɪɹə,,['proper noun']
Moises,moiˈses,,['proper noun']
Moldavia,moldabia,,['proper noun']
Moldavian,moldabian,,['proper noun']
Moldova,mɒlˈdəʊvə,,['proper noun']
Molina,mɵˈlinə,,['proper noun']
Molly,ˈmɒli,,['proper noun']
Moloch,ˈməʊlɒk,,['proper noun']
Molokai,ˈmɒləkaɪ,,['proper noun']
Molotov,ˈmolotoʋ,,['proper noun']
Moluccas,məˈlʌkəz,,['proper noun']
Mon,mɔn,,['proper noun']
Mona,ˈmoʊnə,,['proper noun']
Monaco,ˈmɒnəkəʊ,,['proper noun']
Monday,ˈmʌndeɪ,,['proper noun']
Monet,moʊneɪ,,['proper noun']
Mongol,ˈmɒŋɡəl,,['proper noun']
Mongolia,mɒŋˈɡəʊliə,,['proper noun']
Mongolian,mɒŋˈɡoʊliən,,['proper noun']
Monica,ˈmɒnɪkə,,['proper noun']
Monique,moːˈnik,,['proper noun']
Monmouth,ˈmɒnməθ,,['proper noun']
Monroe,mənˈɹoʊ,,['proper noun']
Mons,mɔ̃s,,['proper noun']
Monsieur,məsjø,,['proper noun']
Monsignor,mɒnˈsiːnjə,,['proper noun']
Montague,ˈmɒntəɡjuː,,['proper noun']
Montana,mɒnˈtænə,,['proper noun']
Monte,ˈmonte,,['proper noun']
Montenegrin,ˌmɒntɪˈniːɡɹɪn,,['proper noun']
Montenegro,mɒntɪˈnɛɡɹəʊ,,['proper noun']
Monterey,ˌmɒntəˈɹeɪ,,['proper noun']
Monterrey,ˌmɒntəˈɹeɪ,,['proper noun']
Montevideo,ˌmɒntɪvɪˈdeɪəʊ,,['proper noun']
Montezuma,mɒntɪˈzuːmə,,['proper noun']
Montgomery,məntˈɡʌməɹi,,['proper noun']
Monticello,ˌmɑntɨˈt͡ʃɛloʊ,,['proper noun']
Montoya,monˈtoʝa,,['proper noun']
Montpelier,mɑntˈpiliɚ,,['proper noun']
Montreal,ˌmɒntɹiˈɔːl,,['proper noun']
Montserrat,mɒn(t)səˈɹæt,,['proper noun']
Monty,ˈmɒnti,,['proper noun']
Moody,ˈmudi,,['proper noun']
Moog,ˈmoʊɡ,,['proper noun']
Moon,uː,,['proper noun']
Moor,mɔː,,['proper noun']
Moore,mʊɹ,,['proper noun']
Moorish,ˈmʊəɹɪʃ,,['proper noun']
Moors,moːrs,,['proper noun']
Morales,moˈɾales,,['proper noun']
Moravia,mɔˈɹeɪviə,,['proper noun']
Mordred,ˈmɔɹdɹɪd,,['proper noun']
More,mɔːˈreɪ,,['proper noun']
Moreno,məˈɹeɪnoʊ,,['proper noun']
Morgan,ˈmɔɹɡən,,['proper noun']
Moriarty,ˈmɔːɹiɑː(ɹ)ti,,['proper noun']
Mormon,ˈmɔːmən,,['proper noun']
Moro,ˈmɔro,,['proper noun']
Morocco,məˈɹɒkəʊ,,['proper noun']
Moroni,məˈɹəʊni,,['proper noun']
Morpheus,ˈmɔːfɪəs,,['proper noun']
Morris,ˈmɔɹɪs,,['proper noun']
Morrison,ˈmɔɹɪsən,,['proper noun']
Mort,mɔː(ɹ)t,,['proper noun']
Mortimer,ˈmɔːtɪmə,,['proper noun']
Moscow,ˈmɒskəʊ,,['proper noun']
Moselle,məʊˈzɛl,,['proper noun']
Moses,ˈməʊzɪs,,['proper noun']
Mosley,ˈmoʊzli,,['proper noun']
Moss,mos,,['proper noun']
Mosul,ˈməʊsəl,,['proper noun']
Motorola,moʊtɚˈɹoʊlə,,['proper noun']
Motown,ˈmoʊtaʊn,,['proper noun']
Mount,məʊ̯nt,,['proper noun']
Mountie,aʊnt,,['proper noun']
Mozambique,ˌmoʊzæmˈbiːk,,['proper noun']
Mozart,ˈməʊtsɑːt,,['proper noun']
Mrs,ˈmɪsɪz,,['proper noun']
Ms,mɪz,,['proper noun']
Mses,mɪzɨz,,['proper noun']
Mt,ˈmɪstɹʌm,,['proper noun']
Mueller,ˈmʌlɚ,,['proper noun']
Muir,mjʊə(ɹ),,['proper noun']
Mulder,ˈmʏldər,,['proper noun']
Mullins,ˈmʌlɪnz,,['proper noun']
Mumbai,mʊmˈbaɪ,,['proper noun']
Munich,ˈmjuːnɪk,,['proper noun']
Munster,ˈmʌnstəɹ,,['proper noun']
Muppet,ʌpɪ,,['proper noun']
Murat,mʊˈɹɑt,,['proper noun']
Murchison,məːt͡ʃɪsən,,['proper noun']
Murcia,ˈmurkia,,['proper noun']
Murdoch,ˈmɜː(ɹ)dɒk,,['proper noun']
Muriel,ˈmjʊəɹɪəl,,['proper noun']
Murphy,ˈmɝfi,,['proper noun']
Murray,ˈmʌɹi,,['proper noun']
Muscat,ˈmʌskæt,,['proper noun']
Muscovite,ˈmʌskəˌvaɪt,,['proper noun']
Muscovy,ˈmʌskəvi,,['proper noun']
Muse,mjuːz,,['proper noun']
Muslim,ˈmʌzlɪm,,['proper noun']
Mussolini,ˌmʊsəˈliːni,,['proper noun']
Muzak,ˈmjuːzæk,,['proper noun']
Myanmar,ˈmjɑnˌmɑɹ,,['proper noun']
Mycenae,myˈkeːnae̯,,['proper noun']
Mycenaean,ˌmaɪsɪˈniːən,,['proper noun']
Myra,aɪɹ,,['proper noun']
Myron,aɪəɹə,,['proper noun']
Mysore,maɪˈsʊəɹ,,['proper noun']
Münchhausen,mʏnçˈhaʊ̯zən,,['proper noun']
N,ɛn,,['proper noun']
N'Djamena,əndʒɑːˈmeɪnɑː,,['proper noun']
NAFTA,ˈnæftə,,['proper noun']
NASA,ˈnæsə,,['proper noun']
NASDAQ,ˈnæzdæk,,['proper noun']
NATO,ˈneɪtəʊ,,['proper noun']
NB,njoʊ̯³⁵ pi⁵⁵,,['proper noun']
NCAA,ɛn siː eɪ eɪ,,['proper noun']
NFL,ɛ,,['proper noun']
NIMBY,ˈnɪmbi,,['proper noun']
NPR,ɑː(ɹ,,['proper noun']
Na,naː˧˧,,['proper noun']
Nader,eɪdə(ɹ,,['proper noun']
Nadia,ˈnaːdiaː,,['proper noun']
Nadine,naːˈdinə,,['proper noun']
Nagasaki,ˌnaɡaˈzaki,,['proper noun']
Nagy,ˈnæɡi,,['proper noun']
Nahuatl,ˈnɑːwɑːt(ə)l,,['proper noun']
Nahum,naum,,['proper noun']
Nairobi,naɪˈɹəʊbi,,['proper noun']
Nam,naːm˧˧,,['proper noun']
Namibia,nəˈmɪbiə,,['proper noun']
Nan,æ,,['proper noun']
Nancy,ˈnænsi,,['proper noun']
Nantes,nɑ̃t,,['proper noun']
Naomi,naɪˈəʊmi,,['proper noun']
Naples,ˈneɪpəlz,,['proper noun']
Napoleon,nəˈpəʊliən,,['proper noun']
Napoleonic,nəˌpoliˈɒnɪk,,['proper noun']
Narcissus,ˌnɑrˈsɪsʏs,,['proper noun']
Narnia,ˈnɑː(ɹ)niə,,['proper noun']
Nash,næʃ,,['proper noun']
Nashville,ˈnæʃˌvɪl,,['proper noun']
Nassau,ˈnæsɔː,,['proper noun']
Nat,næt,,['proper noun']
Natalia,nataˈlia,,['proper noun']
Natalie,ˈnaːtaːˌli,,['proper noun']
Natasha,nəˈtɑʃə,,['proper noun']
Nate,neɪt,,['proper noun']
Nathan,ˈneɪθən,,['proper noun']
Nathaniel,nəˈθænjəl,,['proper noun']
Nation,naˈt͡si̯oːn,,['proper noun']
Nauru,nɑːˈuːɹuː,,['proper noun']
Navajo,ˈnævəhəʊ,,['proper noun']
Navarre,nəˈvɑː(ɹ),,['proper noun']
Navarro,naˈbaro,,['proper noun']
Nazareth,ˈnæzəɹəθ,,['proper noun']
Nazca,ˈnaskɐ,,['proper noun']
Nazi,ˌnatsi̯oˈnaːl,,['proper noun']
Nazis,ˈnaːtsiːs,,['proper noun']
Nazism,ˈnɑːts(i)ɪzəm,,['proper noun']
Neal,niːl,,['proper noun']
Neanderthal,niːˈændəˌtɑːl,,['proper noun']
Neapolitan,ˌniːəˈpɒlɪtən,,['proper noun']
Nebraska,ˌɲĩˈbɾaskɛ,,['proper noun']
Nebuchadnezzar,ˌnɛbjʊkədˈnɛzə,,['proper noun']
Ned,nɛd,,['proper noun']
Negev,ˈnɛɡɛv,,['proper noun']
Negress,ˈniːɡɹɪs,,['proper noun']
Negro,ˈniːɡɹəʊ,,['proper noun']
Nehemiah,ˌniː(h)əˈmaɪə,,['proper noun']
Nehru,ˈneɪru,,['proper noun']
Neil,niːl,,['proper noun']
Nell,nɛl,,['proper noun']
Nellie,¹nɛlɪ,,['proper noun']
Nelly,ˈnɛli,,['proper noun']
Nelson,ˈnɛlsən,,['proper noun']
Nemesis,ˈnɛməsɪs,,['proper noun']
Neolithic,ˌniəˈlɪθɪk,,['proper noun']
Nepal,nɪˈpɔːl,,['proper noun']
Nepalese,nɛpəˈliːz,,['proper noun']
Nepali,nəˈpɔːli,,['proper noun']
Neptune,ˈnɛptjuːn,,['proper noun']
Nero,ˈniːroʊ,,['proper noun']
Nestor,ˈnɛstəɹ,,['proper noun']
Netherlander,ˈnɛðɚˌlændɚ,,['proper noun']
Netherlands,ˈnɛðələndz,,['proper noun']
Neva,ˈneʋɑ,,['proper noun']
Nevada,nɪˈvædə,,['proper noun']
Nevadan,ædə,,['proper noun']
Nevis,ˈniːvɪs,,['proper noun']
Newark,ˈnjuːək,,['proper noun']
Newcastle,ˈnjuːˌkɑːsl̩,,['proper noun']
Newfoundland,ˈnjuːˌfaʊndlənd,,['proper noun']
Newman,ˈnumən,,['proper noun']
Newport,ˈnjuːpɔː(ɹ)t,,['proper noun']
Newton,ˈn(j)uːtən,,['proper noun']
Newtonian,njuːˈtəʊnɪən,,['proper noun']
Nguyen,wɪn,,['proper noun']
Niagara,naɪˈæɡɹə,,['proper noun']
Niamey,njɑːˈmeɪ,,['proper noun']
Nibelung,ˈniːbəlʊŋ,,['proper noun']
Nicaea,naɪˈsiːə,,['proper noun']
Nicaragua,ˌnɪkəɹˈæɡjuə,,['proper noun']
Nice,niːs,,['proper noun']
Nicene,ˈnaɪsiːn,,['proper noun']
Nicholas,ˈnɪkələs,,['proper noun']
Nick,nɪk,,['proper noun']
Nicodemus,ˌnikoːˈdeːmʏs,,['proper noun']
Nicola,ˈnɪkələ,,['proper noun']
Nicolas,nikɔlɑ,,['proper noun']
Nicole,nɪˈkəʊl,,['proper noun']
Nicosia,ˌnɪkəˈsiːə,,['proper noun']
Nielsen,ˈnilsɛn(ː),,['proper noun']
Nietzsche,ˈniːtʃə,,['proper noun']
Nigel,ˈnaɪdʒəl,,['proper noun']
Niger,ˈnaɪdʒə(ɹ),,['proper noun']
Nigeria,naɪˈdʒɪəɹɪə,,['proper noun']
Nigerian,naɪˌdʒɪəɹɪən,,['proper noun']
Nigerien,niːˈʒɛəɹiən,,['proper noun']
Nike,ˈnaɪki,,['proper noun']
Nikita,nikita,,['proper noun']
Nikolai,ˈneɡ̊olaɪ̯,,['proper noun']
Nile,naɪl,,['proper noun']
Nimitz,ˈnɪmɪts,,['proper noun']
Nimrod,nimˈrɔd,,['proper noun']
Nina,ˈniːnə,,['proper noun']
Nineveh,ˈnɪnɪvə,,['proper noun']
Nintendo,nɪnˈtɛndəʊ,,['proper noun']
Niobe,ˈnʌɪəbi,,['proper noun']
Nippon,ˈnɪpɒn,,['proper noun']
Nisan,niːˈsɑːn,,['proper noun']
Nixon,ɪksɪ,,['proper noun']
Noah,ˈnəʊə,,['proper noun']
Nobel,nəʊˈbɛl,,['proper noun']
Noe,ˈnoːeː,,['proper noun']
Noel,nəʊˈɛl,,['proper noun']
Noelle,ˈnəʊəl,,['proper noun']
Noemi,ˌnoeˈmi,,['proper noun']
Nokia,ˈnɒkiə,,['proper noun']
Nola,noʊlə,,['proper noun']
Nolan,ˈnəʊlən,,['proper noun']
Nome,noʊm,,['proper noun']
Nora,ˈnɔːɹə,,['proper noun']
Norbert,ˈnorbɛrt,,['proper noun']
Norberto,norˈbɛrto,,['proper noun']
Nordic,ˈnɔːdɪk,,['proper noun']
Norfolk,ˈnɔː(ɹ)fək,,['proper noun']
Noriega,noˈɾjeɡa,,['proper noun']
Norma,ɔː(ɹ)m,,['proper noun']
Norman,ˈnɔɹmən,,['proper noun']
Normand,nɔʁmɑ̃,,['proper noun']
Norris,ˈnɔɹɪs,,['proper noun']
Norse,nɔɹs,,['proper noun']
North,ɔː(ɹ),,['proper noun']
Northampton,nɔːˈθæmptən,,['proper noun']
Norway,ˈnɔːweɪ,,['proper noun']
Norwegian,nɔːˈwiːdʒən,,['proper noun']
Norwich,ˈnɒɹɪdʒ,,['proper noun']
Nosferatu,ˌnɒsfəˈɹɑːtuː,,['proper noun']
Nottingham,ˈnɒtɪŋəm,,['proper noun']
Nouakchott,nwɑːkˈʃɒt,,['proper noun']
November,noˈvembə,,['proper noun']
Novembers,noʊˈvɛmbɚz,,['proper noun']
Novgorod,ˈnɒvɡəɹɒd,,['proper noun']
Novosibirsk,ˈnovosɪbɪrsk,,['proper noun']
Noyes,ˈnɔɪz,,['proper noun']
Nubia,uːbi,,['proper noun']
Nunavut,ˈn(j)uːnəˌvuːt,,['proper noun']
Nuremberg,ˈnjʊəɹəmbəɡ,,['proper noun']
O,əʊ,,['proper noun']
O'Brien,əˈbɹaɪən,,['proper noun']
O'Neill,oʊˈnil,,['proper noun']
OB,oːˈbeː,,['proper noun']
OD,ˌoʊˈdiː,,['proper noun']
OK,ˌəʊˈkeɪ,,['proper noun']
OPEC,ˈəʊpɛk,,['proper noun']
OS,ˌoʊ ˈɛs,,['proper noun']
Oahu,oʊˈɑhu,,['proper noun']
Oakland,ˈoʊklənd,,['proper noun']
Oakley,ˈəʊkli,,['proper noun']
Oates,əʊts,,['proper noun']
Oaxaca,wəˈhækə,,['proper noun']
Obadiah,ˌoʊbəˈdaɪə,,['proper noun']
Obama,oʊˈbɑmə,,['proper noun']
Occident,ɔksidɑ̃,,['proper noun']
Oceania,ˌəʊʃiˈɑːnɪə,,['proper noun']
Oceanus,oʊˈsiːənəs,,['proper noun']
Ochoa,oˈt͡ʃoa,,['proper noun']
Octavian,ɒkˈteɪviən,,['proper noun']
Octavio,oɡˈtabjo,,['proper noun']
October,ɒkˈtəʊbə,,['proper noun']
Octobers,ɑkˈtoʊbɚz,,['proper noun']
Oder,ˈɔːdʌ,,['proper noun']
Odessa,əʊˈdɛsə,,['proper noun']
Odin,əʊdɪn,,['proper noun']
Odysseus,əˈdɪsjuːs,,['proper noun']
Odyssey,ˈɒdɨsi,,['proper noun']
Oedipal,ˈidəpɛl,,['proper noun']
Oedipus,ˈɛdɪpəs,,['proper noun']
Ogilvy,ˈəʊɡlvɪ,,['proper noun']
Ohio,oʊˈhaɪoʊ,,['proper noun']
Oise,wɑːz,,['proper noun']
Oklahoma,ˌoʊkləˈhoʊmə,,['proper noun']
Oktoberfest,ɔkˈtoːbɐˌfɛst,,['proper noun']
Ola,ˈɔla,,['proper noun']
Olaf,ˈəʊləf,,['proper noun']
Olav,olɑw,,['proper noun']
Oldenburg,ˈɔldənˌbʊʁk,,['proper noun']
Olga,ˈolɡa,,['proper noun']
Olive,oˈliːvə,,['proper noun']
Oliver,ˈɑlɪvɚ,,['proper noun']
Olivetti,oliˈvetti,,['proper noun']
Olivia,əʊˈlɪviə,,['proper noun']
Olivier,ɔlivje,,['proper noun']
Ollie,ˈɔli,,['proper noun']
Olmec,ˈoʊlmɛk,,['proper noun']
Olsen,ˈoulsɛn(ː),,['proper noun']
Olson,ˈoʊlsən,,['proper noun']
Olympia,ˈɔlimpia,,['proper noun']
Olympiad,əˈlɪmpiæd,,['proper noun']
Olympian,əˈlɪmpɪən,,['proper noun']
Olympic,oʊˈlɪmpɪk,,['proper noun']
Olympus,əˈlɪmpəs,,['proper noun']
Omaha,ˈəʊməhɑː,,['proper noun']
Oman,əʊˈmɑːn,,['proper noun']
Omar,ˈəʊmɑː,,['proper noun']
Omsk,ɔmsk,,['proper noun']
Ontario,ɑnˈtɛəɹioʊ,,['proper noun']
Opal,aː,,['proper noun']
Ophelia,ɒˈfiːlɪə,,['proper noun']
Ophiuchus,ˌɑfiˈjuːkəs,,['proper noun']
Oppenheimer,ˈɔpn̩ˌhaɪ̯mɐ,,['proper noun']
Opposition,ˌɔpoziˈtsjoːn,,['proper noun']
Ora,ˈʊəra,,['proper noun']
Orange,ˈɒɹɪndʒ,,['proper noun']
Oranjestad,ɒˈɹænjəstɑːt,,['proper noun']
Oregon,ˈɔɹɪɡən,,['proper noun']
Oreo,ˈɔːɹioʊ,,['proper noun']
Orestes,ɒˈɹɛstiːz,,['proper noun']
Orient,ˈɔːɹɪənt,,['proper noun']
Oriental,ɔːɹiˈɛntəl,,['proper noun']
Orinoco,ˌoʊɹɪˈnoʊkoʊ,,['proper noun']
Orion,əˈɹaɪən,,['proper noun']
Orlando,ɔɹˈlændoʊ,,['proper noun']
Orleans,ˈɔɹliənz,,['proper noun']
Orly,ˈɔɹli,,['proper noun']
Orpheus,ˈɔɹfiəs,,['proper noun']
Orr,ɔɹ,,['proper noun']
Ortega,oɾˈteɡa,,['proper noun']
Ortiz,ɔɹˈtiz,,['proper noun']
Orwell,ˈɔːwel,,['proper noun']
Orwellian,ɔɹˈwɛliən,,['proper noun']
Os,ɔs,,['proper noun']
Osage,ˈoʊseɪdʒ,,['proper noun']
Osaka,əʊˈsɑːkə,,['proper noun']
Osborne,ˈɒzbɔː(ɹ)n,,['proper noun']
Oscar,ˈɔskɑ,,['proper noun']
Osiris,oʊˈsaɪɹɪs,,['proper noun']
Oslo,ˈɒzləʊ,,['proper noun']
Osvaldo,oˈzvaldo,,['proper noun']
Oswald,ˈɔsfalt,,['proper noun']
Otis,ˈoʊtɪs,,['proper noun']
Ottawa,ˈɒtəwə,,['proper noun']
Otto,ˈɑtoʊ,,['proper noun']
Ottoman,ˈɑtəmən,,['proper noun']
Ouagadougou,ˈwɑːɡəˈduːɡuː,,['proper noun']
Ouija,ˈwiːdʒə,,['proper noun']
Ovid,ˈɒvɪd,,['proper noun']
Owen,ˈoʊɪn,,['proper noun']
Oxford,ˈɒksfəd,,['proper noun']
Oxnard,ˈɒksnɑrd,,['proper noun']
Oxus,ˈoːksus,,['proper noun']
Oz,ɒz,,['proper noun']
P,piː,,['proper noun']
PA,pʲiːe̞ː,,['proper noun']
PC,ˌpiː ˈsiː,,['proper noun']
PD,pede,,['proper noun']
PET,peøte,,['proper noun']
PM,ˌpiː ˈɛm,,['proper noun']
PO,pʰoʊ̯⁵⁵,,['proper noun']
PP,ˌpeˈpe,,['proper noun']
PR,pɛɛr,,['proper noun']
PS,pʰi⁵¹ ˀaɪ̯³⁵ sz̩³,,['proper noun']
PT,ˈpete,,['proper noun']
PTA,pʲiːtʲiːe̞ː,,['proper noun']
Pa,paː,,['proper noun']
Paar,paːr,,['proper noun']
Pablo,ˈpaβlo,,['proper noun']
Pacheco,paˈʃeku,,['proper noun']
Padilla,pəˈdiːə,,['proper noun']
Paganini,paɡaˈnini,,['proper noun']
Page,ˈpaːʒə,,['proper noun']
Paine,eɪ,,['proper noun']
Pakistan,ˌpɑːkɪˈstɑːn,,['proper noun']
Paleocene,ˌpeɪliːəʊˈsiːn,,['proper noun']
Paleolithic,ˈpeɪlɪiəʊˌlɪθɪk,,['proper noun']
Paleozoic,əʊɪ,,['proper noun']
Palermo,paːˈlɛrmoː,,['proper noun']
Palestine,ˈpæləsˌtaɪn,,['proper noun']
Palestinian,ɪniə,,['proper noun']
Palmer,ˈpɑːmə,,['proper noun']
Palmerston,ˈpɑːməstən,,['proper noun']
Palmyra,pælˈmaɪɹə,,['proper noun']
Pam,æ,,['proper noun']
Pamela,paˈmɛla,,['proper noun']
Pan,ˈpan,,['proper noun']
Panama,ˈpænəmɑː,,['proper noun']
Panamanian,pænəˈmeɪniən,,['proper noun']
Panamanians,pænəˈmeɪniənz,,['proper noun']
Panasonic,ˈpɒnɒsonik,,['proper noun']
Pandora,ˌpænˈdɔɹə,,['proper noun']
Pangaea,pænˈdʒiːə,,['proper noun']
Pantheon,ˈpanteɔn,,['proper noun']
Paracelsus,ˌpæɹəˈsɛlsəs,,['proper noun']
Paraclete,ˈpæɹəkliːt,,['proper noun']
Paradise,ˈpæɹədaɪs,,['proper noun']
Paraguay,ˈpæɹəɡwaɪ,,['proper noun']
Paraguayan,eɪə,,['proper noun']
Paralympic,ˌpæɹəˈlɪmpɪk,,['proper noun']
Paramaribo,pɑɹəˈmɑːɹɪbəʊ,,['proper noun']
Paraná,ˌpæɹəˈnɑː,,['proper noun']
Paris,ˈpæɹɪs,,['proper noun']
Parisian,pəˈɹɪzɪən,,['proper noun']
Park,pɑɹk,,['proper noun']
Parker,ˈpɑɹkɚ,,['proper noun']
Parks,paʁks,,['proper noun']
Parmenides,parˈmenideːs,,['proper noun']
Parmesan,aː,,['proper noun']
Parnell,pɑːˈnɛl,,['proper noun']
Parsifal,ˈparsifal,,['proper noun']
Parsons,ˈpɑɹsənz,,['proper noun']
Parthenon,ˈpɑːθənən,,['proper noun']
Parthia,ˈpɑːθiə,,['proper noun']
Pasadena,ˌpæsəˈdiːnə,,['proper noun']
Pascal,pæsˈkæl,,['proper noun']
Pasco,ˈpæskəʊ,,['proper noun']
Pasquale,paˈskwale,,['proper noun']
Passion,ˈpæʃən,,['proper noun']
Pasternak,ˈpasternak,,['proper noun']
Pat,pæt,,['proper noun']
Patagonia,pataˈɡɔɲja,,['proper noun']
Pate,paːtə,,['proper noun']
Patel,pəˈtɛl,,['proper noun']
Patrice,patʁis,,['proper noun']
Patricia,pəˈtɹɪʃə,,['proper noun']
Patrick,ˈpætɹɪk,,['proper noun']
Patterson,ˈpætəɹsən,,['proper noun']
Patton,ˈpætən,,['proper noun']
Patty,ˈpæti,,['proper noun']
Paul,pɔːl,,['proper noun']
Paula,ˈpɔːlə,,['proper noun']
Paulette,polɛt,,['proper noun']
Pauli,ˈpaulɪ,,['proper noun']
Pauline,ˈpɔːˌliːn,,['proper noun']
Pavarotti,pavaˈrɔtti,,['proper noun']
Pavlovian,pævˈloʊviən,,['proper noun']
Pawnee,ˈpɔːniː,,['proper noun']
Peabody,ˈpibɑdi,,['proper noun']
Peck,pʰek,,['proper noun']
Pecos,ˈpeɪkəs,,['proper noun']
Pedro,ˈpedro,,['proper noun']
Peel,eː,,['proper noun']
Peg,pɛɡ,,['proper noun']
Pegasus,ˈpɛɡəsəs,,['proper noun']
Peggy,ˈpɛɡi,,['proper noun']
Peking,piːˈkɪŋ,,['proper noun']
Pekingese,iː,,['proper noun']
Pele,ˈpele,,['proper noun']
Peloponnese,pɛləpəˈniːs,,['proper noun']
Pembroke,ˈpɛmbɹʊk,,['proper noun']
Penelope,pɨˈnɛləpi,,['proper noun']
Penn,ɛ,,['proper noun']
Pennsylvania,ˌpɛnsɪlˈveɪniə,,['proper noun']
Pennsylvanian,pɛnsʊlˈveɪ̯njɪn,,['proper noun']
Penny,ˈpɛni,,['proper noun']
Pentagon,ˈpɛntəɡɑn,,['proper noun']
Pentateuch,ˈpɛntəˌtjuːk,,['proper noun']
Pentecost,ˈpɛntɪkɔst,,['proper noun']
Pentecostal,ɒstə,,['proper noun']
Pentium,ˈpɛntɪəm,,['proper noun']
Pepsi,ˈpɛpsi,,['proper noun']
Pepys,piːps,,['proper noun']
Pequot,ˈpiːˌkwɒt,,['proper noun']
Percival,ˈpɜː(ɹ)sɪvəl,,['proper noun']
Percy,ˈpɝsi,,['proper noun']
Perez,ˈpeɾes,,['proper noun']
Pericles,ˈpɛɹɪkliːz,,['proper noun']
Perkins,ˈpɝkɪnz,,['proper noun']
Perl,pɛʁl,,['proper noun']
Perm,pɛʁm,,['proper noun']
Permian,ˈpəːmɪən,,['proper noun']
Perry,ɛɹ,,['proper noun']
Perseid,ˈpɜːsɪɪd,,['proper noun']
Persephone,pəˈsɛfəni,,['proper noun']
Persepolis,pəˈsɛpəlɪs,,['proper noun']
Perseus,ˈpɝsiəs,,['proper noun']
Persia,ˈpɜː(ɹ)ʒə,,['proper noun']
Persian,ˈpɜːʒən,,['proper noun']
Perth,pɜːθ,,['proper noun']
Peru,pəˈɹuː,,['proper noun']
Peruvian,pəˈɹuːviən,,['proper noun']
Pete,piːt,,['proper noun']
Peter,ˈpiːtə,,['proper noun']
Peters,ˈpeːtərs,,['proper noun']
Petersen,pe(ːˀ)tərsən,,['proper noun']
Peterson,ˈpitɚsən,,['proper noun']
Petra,ˈpɛtra,,['proper noun']
Petrarch,ˈpɛtɹɑːk,,['proper noun']
Petty,ˈpɛti,,['proper noun']
Peugeot,ˈpɜːʒəʊ,,['proper noun']
PhD,ˈpeːɦaːdeː,,['proper noun']
Phaedra,ˈfiːdɹə,,['proper noun']
Phaethon,ˈpʰaetʰoːn,,['proper noun']
Phanerozoic,əʊɪ,,['proper noun']
Pharisee,ˈfɛɹɪsiː,,['proper noun']
Phelps,fɛlps,,['proper noun']
Phil,fɪl,,['proper noun']
Philadelphia,fɪləˈdɛlfiə,,['proper noun']
Philemon,ˌfaɪˈliːmɒn,,['proper noun']
Philip,ˈfɪlɪp,,['proper noun']
Philippe,filip,,['proper noun']
Philippine,ˈfɪlɪpiːn,,['proper noun']
Philippines,ˈfɪlɪpinz,,['proper noun']
Philistine,ˈfɪlɪstaɪn,,['proper noun']
Phillip,ˈfɪlɪp,,['proper noun']
Philly,fɪli,,['proper noun']
Phipps,fɪps,,['proper noun']
Phobos,ˈfoʊbəs,,['proper noun']
Phoebe,ˈfiːbi,,['proper noun']
Phoenicia,fəˈnɪʃɪə,,['proper noun']
Phoenician,fəˈnɪʃ(ə)n,,['proper noun']
Phoenix,ˈfiːnɪks,,['proper noun']
Phrygia,ˈfɹɪdʒiə,,['proper noun']
Phyllis,ˈfɪlɪs,,['proper noun']
Piaget,pjaˈʒɛ,,['proper noun']
Picasso,piˈkaso,,['proper noun']
Piccadilly,pɪkədɪli,,['proper noun']
Pict,pɪkt,,['proper noun']
Piedmont,ˈpiːdmɒnt,,['proper noun']
Pierre,piˈɛɹ,,['proper noun']
Pierrot,pɪəˈɹəʊ,,['proper noun']
Pike,ˈpiːkə,,['proper noun']
Pilate,ˈpaɪlət,,['proper noun']
Pilates,pɪˈlɑːtiːz,,['proper noun']
Pindar,ˈpɪndə,,['proper noun']
Pinocchio,pɪˈnəʊkjəʊ,,['proper noun']
Pinochet,pinoˈt͡ʃet,,['proper noun']
Pinyin,ˈpɪnjɪn,,['proper noun']
Pirandello,piranˈdɛllo,,['proper noun']
Pisa,iːz,,['proper noun']
Pisces,ˈpaɪsiːz,,['proper noun']
Pisistratus,piːˈsistratus,,['proper noun']
Pitt,pɪt,,['proper noun']
Pitts,pɪts,,['proper noun']
Pius,ˈpiws,,['proper noun']
Pizarro,piˈsaɾɾo,,['proper noun']
Planck,plaŋk,,['proper noun']
Plano,ˈpleɪnoʊ,,['proper noun']
Plantagenet,planˈtadʒ(ə)nət,,['proper noun']
Plato,ˈpleɪtəʊ,,['proper noun']
Platte,ˈplatə,,['proper noun']
Plautus,ˈplɔːtəs,,['proper noun']
Pleiades,ˈplaɪəˌdiːz,,['proper noun']
Pleistocene,ˈplaɪstəˌsiːn,,['proper noun']
Pliny,ˈplɪni,,['proper noun']
Pliocene,ˈplaɪəsiːn,,['proper noun']
Plutarch,ˈpluːtɑːk,,['proper noun']
